amr2
"# ::id 0
# ::annotator indoamrbart-mbart-fted
# ::snt ""Mengacu padanya hanya sebagai """"saksi"""", Amrozi menuduh saudaranya dengan sengaja mendistorsi buktinya.""
(z0 / menu
"# ::id 3
# ::annotator indoamrbart-mbart-fted
# ::snt Saham tab melonjak 20 sen, atau 4,6%, untuk mencatat rekor tertinggi dengan harga $ 4,57.
(z0 / atau
    :op1 (z1 / laju-01
             :ARG1 (z2 / entitas-laju-91
                       :ARG1 (z3 / kuantitas-moneter
                                 :unit (z4 / sen))
                       :ARG2 (z5 / entitas-laju-91
                                 :ARG1 (z6 / entitas-laju-91
                                           :ARG1 (z7 / entitas-laju-91
                                                     :ARG2 (z8 / kuantitas-moneter
                                                               :unit (z9 / dolar))))))
             :ARG4 (z10 / entitas-laju-91
                        :ARG1 (z11 / entitas-laju-91
                                   :ARG2 (z12 / entitas-laju-91
                                              :ARG1 (z13 / entitas-laju-91
                                                         :ARG2 (z14 / kuantitas-moneter
                                                                    :unit (z15 / dolar)))))))
    :op2 (z16 / rekor
              :mod (z17 / tertinggi
                        :mod (z19 / entitas-laju-91
                                  :ARG1 (z20 / entitas-laju-91
                                             :ARG2 (z21 / kuantitas-moneter
                                                        :unit (z22 / dolar)))))))"
"# ::id 4
# ::annotator indoamrbart-mbart-fted
# ::snt Saham PG&E Corp. melonjak $ 1,63 atau 8 persen menjadi $ 21,03 di New York Stock Exchange pada hari Jumat.
(z0 / melonjak
    :ARG1 (z2 / entitas-laju-91
              :ARG1-of (z3 / entitas-laju-91
                           :ARG2 (z4 / entitas-tanggal
                                     :weekday (z5 / jumat))))
    :ARG3 (z6 / entitas-laju-91
              :ARG2 (z7 / atau
                        :op1 (z8 / entitas-laju-91
                                 :ARG2 (z9 / kuantitas-moneter
                                           :unit (z10 / dolar)))
                        :op2 (z11 / entitas-laju-91
                                  :ARG2 (z12 / entitas-laju-91
                                             :ARG1 (z13 / entitas-laju-91
                                                        :ARG2 (z14 / entitas-tanggal
                                                                   :weekday (z15 / jumat))))))))"
"# ::id 5
# ::annotator indoamrbart-mbart-fted
# ::snt Dengan skandal yang menggantung di atas perusahaan Stewart, pendapatan kuartal pertama tahun ini turun 15 persen dari periode yang sama tahun sebelumnya.
(z0 / turun-01
    :ARG0 (z1 / pendapatan
              :mod (z2 / entitas-laju-91
                       :ARG4 (z3 / kuartal
                                 :ord (z4 / entitas-ordinal))))
    :ARG3 (z5 / entitas-persentase)
    :source (z6 / periode
                :ARG1-of (z7 / sama-01
                             :ARG2 (z8 / entitas-laju-91
                                       :ARG3 (z9 / tahun
                                                 :mod (z10 / ini)))))
    :location (z11 / atas
                   :op1 (z12 / perusahaan
                             :wiki ""StewartMotorCompany""
                             :name (z13 / nama
                                        :op1 ""Stewart""))))"
"# ::id 6
# ::annotator indoamrbart-mbart-fted
# ::snt Nasdaq Composite .ixic yang dilacak dengan teknologi mengumpulkan 30,46 poin, atau 2,04 persen, menjadi 1.520,15.
(z0 / tangkap-01
    :ARG0 (z1 / perusahaan
              :wiki -
              :name (z2 / nama
                        :op1 ""Nasdaq""
                        :op2 ""Composite""
                        :op3 ""ixic""))
    :ARG1 (z3 / atau
              :op1 (z4 / entitas-persentase)
              :op2 (z5 / entitas-persentase))
    :location (z6 / entitas-laju-91
                  :ARG4 (z7 / entitas-tanggal))
    :location (z8 / entitas-laju-91
                  :ARG4 (z9 / entitas-tanggal)))"
"# ::id 7
# ::annotator indoamrbart-mbart-fted
# ::snt DVD CCA mengajukan banding atas keputusan itu ke Mahkamah Agung A.S.
(z0 / banding-01
    :ARG0 (z1 / organisasi
              :wiki -
              :name (z2 / nama
                        :op1 ""CCA""
                        :op2 ""CCA""))
    :ARG1 (z3 / keputusan
              :mod (z4 / itu))
    :destination (z5 / MahkamahAgung
                     :mod (z6 / negara
                              :wiki ""UnitedStates""
                              :name (z7 / nama
                                        :op1 ""A.S.""))))"
"# ::id 8
# ::annotator indoamrbart-mbart-fted
# ::snt Penghasilan dipengaruhi oleh manfaat pajak $ 8 juta yang tidak berulang pada periode tahun lalu.
(z0 / pengaruh-01
    :ARG0 (z1 / manfaat
              :mod (z2 / pajak)
              :ARG1 (z3 / entitas-laju-91
                        :ARG1 (z4 / entitas-laju-91
                                  :ARG1 (z5 / kuantitas-moneter
                                            :unit (z6 / dolar)))
                        :ARG2 (z7 / entitas-laju-91
                                  :ARG3 (z8 / kuantitas-sementara
                                            :unit (z9 / tahun)))))
    :ARG1 (z10 / penghasilan))"
"# ::id 9
# ::annotator indoamrbart-mbart-fted
# ::snt """"""Bisnis pai layanan makanan tidak sesuai dengan strategi pertumbuhan jangka panjang kami.""
(z0 / sesuai-01
    :polarity -
    :ARG0 (z1 / layanan
              :mod (z2 / makanan)
              :poss (z3 / orang
                        :ARG0-of (z4 / memiliki-peran-rel-91
                                     :ARG2 (z5 / ibu))))
    :ARG2 (z6 / strategi
              :mod (z7 / pertumbuhan
                       :mod (z8 / panjang)
                       :poss (z9 / kami))))"
"# ::id 10
# ::annotator indoamrbart-mbart-fted
# ::snt Saham Xoma turun 16 persen dalam perdagangan awal, sementara saham Genentech, perusahaan yang jauh lebih besar dengan beberapa produk di pasaran, naik 2 persen.
(z0 / dan
    :op1 (z1 / turun-01
             :ARG0 (z2 / perusahaan
                       :wiki -
                       :name (z3 / nama
                                 :op1 ""Genentech""))
             :ARG1 (z4 / entitas-persentase)
             :time (z5 / perdagangan
                       :mod (z6 / awal)))
    :op2 (z7 / naik-01
             :ARG1 (z8 / saham
                       :poss (z9 / perusahaan
                                 :wiki -
                                 :name (z10 / nama
                                            :op1 ""Genentech"")))
             :ARG4 (z11 / entitas-persentase)
             :location (z12 / pasar)))"
"# ::id 11
# ::annotator indoamrbart-mbart-fted
# ::snt Legislasi yang membuat konsumen lebih sulit untuk menghapus hutang mereka di pengadilan kebangkrutan memenangkan Speedy, persetujuan DPR pada bulan Maret dan didukung oleh Gedung Putih.
(z0 / dan
    :op1 (z1 / buat-01
             :ARG0 (z2 / orang
                       :ARG0-of (z3 / memiliki-peran-rel-91
                                    :ARG2 (z4 / konsumen)))
             :ARG1 (z5 / sulit
                       :domain (z6 / keluar-01
                                   :ARG0 z2
                                   :ARG1 (z7 / hutang
                                             :poss z2))
                       :location (z8 / pengadilan
                                     :mod (z9 / kebangkrutan))))
    :op2 (z10 / dan
              :op1 (z11 / persetujuan-01
                        :ARG0 (z12 / DPR)
                        :time (z13 / entitas-tanggal))
              :op2 (z14 / mendukung-02
                        :ARG0 (z15 / organisasi-pemerintah
                                   :wiki ""WhiteHouse""
                                   :name (z16 / nama
                                              :op1 ""White""
                                              :op2 ""House""))
                        :ARG1 (z17 / persetujuan))))"
"# ::id 12
# ::annotator indoamrbart-mbart-fted
# ::snt Indeks Komposit Nasdaq, penuh dengan saham teknologi, akhir-akhir ini naik sekitar 18 poin.
(z0 / naik-01
    :ARG0 (z1 / saham
              :wiki -
              :name (z2 / nama
                        :op1 ""Nasdaq""
                        :op2 ""Komposit""
                        :op3 ""Nasdaq""))
    :ARG4 (z3 / sekitar
              :op1 (z4 / entitas-laju-91
                       :ARG2 (z5 / kuantitas-moneter
                                 :unit (z6 / poin))))
    :time (z7 / akhir-akhir
              :mod (z8 / ini)))"
"# ::id 13
# ::annotator indoamrbart-mbart-fted
# ::snt De Sole mengatakan dalam pernyataan hasil bahwa kinerja kelompok akan membaik di paruh kedua tahun dan seterusnya.
(z0 / katakan-01
    :ARG0 (z1 / orang
              :wiki -
              :name (z2 / nama
                        :op1 ""Sole""
                        :op2 ""De""))
    :ARG1 (z3 / mulai-01
              :ARG1 (z4 / kinerja
                        :mod (z5 / kelompok))
              :time (z6 / entitas-tanggal
                        :year (z7 / dan
                                  :op1 (z8 / sekarang)
                                  :op2 (z9 / dan
                                           :op1 (z10 / jadi-01
                                                     :ARG1 (z11 / tahun
                                                                :mod (z12 / ini)))))))
    :location (z13 / pernyataan
                   :mod (z14 / hasil)))"
"# ::id 14
# ::annotator indoamrbart-mbart-fted
# ::snt """"""Anak -anak perempuan Saddam memiliki sekolah dan rumah sakit di Inggris ketika mereka memutuskan untuk meminta suaka - terutama sekolah-sekolah,"""" katanya kepada The Sun.""
(z0 / katakan-01
    :ARG0 (z1 / orang
              :wiki -
              :name (z2 / nama
                        :op1 ""The""
                        :op2 ""Sun""))
    :ARG1 (z3 / memiliki-01
              :ARG0 (z4 / orang
                        :ARG0-of (z5 / memiliki-peran-rel-91
                                     :ARG1 (z6 / orang
                                               :wiki -
                                               :name (z7 / nama
                                                         :op1 ""Saddam""))
                                     :ARG2 (z8 / anak)))
              :ARG1 (z9 / dan
                        :op1 (z10 / sekolah)
                        :op2 (z11 / rumah
                                  :mod (z12 / sakit)))
              :location (z13 / negara
                             :wiki ""UnitedKingdom""
                             :name (z14 / nama
                                        :op1 ""Britain""))
              :time (z15 / memutuskan-01
                         :ARG0 z4
                         :ARG1 (z16 / suka-01
                                    :ARG0 z4)))
    :ARG2 (z17 / sekolah
               :mod (z18 / terutama)))"
"# ::id 15
# ::annotator indoamrbart-mbart-fted
# ::snt Kepala unit bencana setempat, Gyorgy Heizler, mengatakan sopir pelatih telah gagal mengindahkan lampu berhenti merah.
(z0 / katakan-01
    :ARG0 (z1 / orang
              :wiki -
              :name (z2 / nama
                        :op1 ""Gyorgy""
                        :op2 ""Heizler"")
              :ARG0-of (z3 / kepala-01
                           :ARG1 (z4 / unit
                                     :mod (z5 / bencana)
                                     :mod (z6 / setempat))))
    :ARG1 (z7 / gagal-01
              :ARG0 (z8 / orang
                        :ARG0-of (z9 / sopir-01))
              :ARG1 (z10 / lihat-01
                         :ARG0 z8
                         :ARG1 (z11 / lampu
                                    :ARG1-of (z12 / merah-02)))))"
"# ::id 16
# ::annotator indoamrbart-mbart-fted
# ::snt Wakil Presiden Senior Eric Rudder, sebelumnya Kepala Unit Pengevakan Pengembang dan Platform, akan memimpin entitas baru.
(z0 / memimpin-01
    :ARG0 (z1 / orang
              :wiki -
              :name (z2 / nama
                        :op1 ""Eric""
                        :op2 ""Rudder"")
              :ARG0-of (z3 / memiliki-peran-org-91
                           :ARG2 (z4 / presiden
                                     :mod (z5 / senior))))
    :ARG1 (z6 / entitas
              :mod (z7 / baru))
    :time (z8 / sebelumnya
              :op1 (z9 / kepala-01
                       :ARG0 z1
                       :ARG1 (z10 / unit
                                  :wiki -
                                  :name (z11 / nama
                                             :op1 ""Pengevakan""
                                             :op2 ""Pengembang""
                                             :op3 ""Platform"")))))"
"# ::id 17
# ::annotator indoamrbart-mbart-fted
# ::snt Kekacauan internal telah memungkinkan perusahaan asing untuk merusak penebangan komersial dan operasi penangkapan ikan tanpa kontrol pemantauan atau ekspor yang tepat.
(z0 / izin-01
    :ARG0 (z1 / acauan
              :mod (z2 / internal))
    :ARG1 (z3 / dan
              :op1 (z4 / kerusakan-01
                       :ARG0 (z5 / perusahaan
                                 :mod (z6 / asing))
                       :ARG1 (z7 / dan
                                 :op1 (z8 / penebangan
                                          :mod (z9 / komersial))
                                 :op2 (z10 / operasi
                                           :mod (z11 / tangkap-01
                                                     :ARG1-of (z12 / ikan-01))))
                       :manner (z13 / kontrol-01
                                    :polarity -
                                    :ARG0 (z14 / atau
                                               :op1 (z15 / pemantauan-01)
                                               :op2 (z16 / ekspor-01)
                                               :mod (z17 / yang-tepat))))))"
"# ::id 18
# ::annotator indoamrbart-mbart-fted
# ::snt ""Istrinya mengatakan dia """"100 persen di belakang George Bush"""" dan berharap untuk menggunakan pelatihan bertahun -tahun dalam perang.""
(z0 / dan
    :op1 (z1 / mengatakan-01
             :ARG0 (z2 / orang
                       :ARG0-of (z3 / memiliki-peran-rel-91
                                    :ARG2 (z4 / istri)))
             :ARG1 (z5 / belakang
                       :op1 (z6 / orang
                                :wiki ""GeorgeW.Bush""
                                :name (z7 / nama
                                          :op1 ""George""
                                          :op2 ""Bush""))
                       :quant (z8 / entitas-persentase)))
    :op2 (z9 / berharap-01
             :ARG0 z2
             :ARG1 (z10 / menggunakan-01
                        :ARG0 z2
                        :ARG1 (z11 / kereta)
                        :time (z12 / perang)
                        :duration (z13 / beberapa
                                       :op1 (z14 / kuantitas-sementara
                                                 :unit (z15 / tahun))))))"
"# ::id 19
# ::annotator indoamrbart-mbart-fted
# ::snt ""Sheena Young, juru bicara untuk Child, National Infertility Support Network, mengatakan pedoman yang diusulkan harus mengarah pada layanan yang lebih """"adil dan adil"""" untuk penderita infertilitas.""
(z0 / katakan-01
    :ARG0 (z1 / orang
              :wiki -
              :name (z2 / nama
                        :op1 ""Sheena""
                        :op2 ""Young"")
              :ARG0-of (z3 / memiliki-peran-org-91
                           :ARG1 (z4 / organisasi
                                     :wiki -
                                     :name (z5 / nama
                                               :op1 ""Child""
                                               :op2 ""National""
                                               :op3 ""Infertility""
                                               :op4 ""Support""
                                               :op5 ""Network""))
                           :ARG2 (z6 / juru-bicara)))
    :ARG1 (z7 / saran-01
              :ARG1-of (z8 / mengusulkan-01))
    :ARG2 (z9 / rujuk-01
              :ARG0 z1
              :ARG1 (z10 / layanan
                         :ARG1-of (z11 / memiliki-derajat-91
                                       :ARG2 (z12 / dan
                                                  :op1 (z13 / adil-01)
                                                  :op2 (z14 / adil-01))
                                       :ARG3 (z15 / orang
                                                  :ARG0-of (z16 / memiliki-peran-rel-91
                                                                :ARG2 (z17 / penderita
                                                                           :mod (z18 / infertilitas)))))
                         :ARG3 (z19 / lebih))))"
"# ::id 20
# ::annotator indoamrbart-mbart-fted
# ::snt """"""Saya pikir Anda akan melihat banyak pertumbuhan pekerjaan dalam dua tahun ke depan,"""" kata Mankiw.""
(z0 / ujar-01
    :ARG0 (z1 / orang
              :wiki -
              :name (z2 / nama
                        :op1 ""Mankiw""))
    :ARG1 (z3 / pikirkan-01
              :ARG0 (z4 / aku)
              :ARG1 (z5 / lihat-01
                        :ARG0 (z6 / anda)
                        :ARG1 (z7 / bertambah-01
                                  :ARG1 (z8 / pekerjaan)
                                  :quant (z9 / banyak)
                                  :time (z10 / setelah
                                             :op1 (z11 / sekarang)
                                             :quant (z12 / kuantitas-sementara
                                                         :unit (z13 / tahun)))))))"
"# ::id 21
# ::annotator indoamrbart-mbart-fted
# ::snt Alat navigasi pencari Panther yang didesain ulang menempatkan folder favorit pengguna, hard drive, server jaringan, idisk dan media yang dapat dilepas di satu lokasi.
(z0 / letakkan-01
    :ARG0 (z1 / orang
              :wiki -
              :name (z2 / nama
                        :op1 ""Panther"")
              :ARG0-of (z3 / pencari-01))
    :ARG1 (z4 / dan
              :op1 (z5 / simpan-01
                       :ARG0 z1
                       :ARG1-of (z6 / nikmat-01
                                    :ARG0 (z7 / pengguna)))
              :op2 (z8 / simpan-01
                       :ARG0 z1
                       :ARG1 (z9 / harddrive))
              :op3 (z10 / server
                        :mod (z11 / jaringan))
              :op4 (z12 / media
                        :mod (z13 / idisk)))
    :location (z14 / lokasi))"
"# ::id 22
# ::annotator indoamrbart-mbart-fted
# ::snt Peringatan badai tropis ada pada hari Kamis untuk Jamaika dan Haiti dan mengawasi Republik Dominika barat, Bahama tenggara dan Kepulauan Turki dan Caicos.
(z0 / dan
    :op1 (z1 / ada-01
             :ARG1 (z2 / peringatan-01
                       :ARG1 (z3 / badai
                                 :mod (z4 / tropis)))
             :time (z5 / entitas-tanggal
                       :weekday (z6 / kamis))
             :beneficiary (z7 / dan
                              :op1 (z8 / negara
                                       :wiki ""Jamaika""
                                       :name (z9 / nama
                                                 :op1 ""Jamaika""))
                              :op2 (z10 / negara
                                        :wiki ""Haiti""
                                        :name (z11 / nama
                                                   :op1 ""Haiti""))))
    :op2 (z12 / mengawasi-01
              :ARG0 (z13 / negara
                         :wiki ""RepublicofDominika""
                         :name (z14 / nama
                                    :op1 ""Republic""
                                    :op2 ""Dominika""))
              :ARG1 (z15 / dan
                         :op1 (z16 / barat
                                   :part (z17 / negara
                                              :wiki ""Bahama""
                                              :name (z18 / nama
                                                         :op1 ""Bahama"")))
                         :op2 (z19 / tenggara
                                   :part (z20 / negara
                                              :wiki ""Turkey""
                                              :name (z21 / nama
                                                         :op1 ""Turkey""))))))"
"# ::id 23
# ::annotator indoamrbart-mbart-fted
# ::snt Zuccarini diperintahkan diadakan tanpa jaminan Rabu oleh seorang hakim federal di Fort Lauderdale, Fla.
(z0 / janji-01
    :ARG0 (z1 / hakim
              :mod (z2 / federal))
    :ARG1 (z3 / entitas-tanggal
              :weekday (z4 / rabu))
    :location (z5 / kota
                  :wiki ""FortLauderdale,Fla.""
                  :name (z6 / nama
                            :op1 ""Fort""
                            :op2 ""Lauderdale"")
                  :location (z7 / jaminan-01
                                :polarity -)))"
"# ::id 24
# ::annotator indoamrbart-mbart-fted
# ::snt BMI antara 18,5 dan 24,9 dianggap normal, lebih dari 25 dianggap kelebihan berat badan dan 30 atau lebih besar didefinisikan sebagai obesitas.
(z0 / dan
    :op1 (z1 / anggap-01
             :ARG1 (z2 / normal
                       :domain (z3 / berat
                                   :quant (z4 / antara
                                              :op1 (z5 / entitas-laju-91
                                                       :ARG2 (z6 / kuantitas-massa
                                                                 :unit (z7 / pound))))
                                   :op2 (z8 / entitas-laju-91
                                            :ARG2 (z9 / kuantitas-massa
                                                      :unit (z10 / pound))))))
    :op2 (z11 / anggap-01
              :ARG1 (z12 / berat
                         :quant (z13 / kuantitas-massa
                                     :unit (z14 / pound)))
              :ARG2 (z15 / kelebihan))
    :op3 (z16 / mendefinisikan-01
              :ARG1 (z17 / obesitas)
              :ARG2 (z18 / entitas-laju-91
                         :ARG2 (z19 / kuantitas-massa
                                    :unit (z20 / pound)))))"
"# ::id 25
# ::annotator indoamrbart-mbart-fted
# ::snt Dolar berada di 116,78 yen jpy =, hampir datar pada sesi, dan di 1,2871 melawan Swiss Franc CHF =, turun 0,1 persen.
(z0 / dan
    :op1 (z1 / datar-01
             :ARG1 (z2 / dolar)
             :ARG2 (z3 / entitas-laju-91
                       :ARG4 (z4 / entitas-tanggal
                                 :dayperiod (z5 / sesi))))
    :op2 (z6 / turun-01
             :ARG0 (z7 / orang
                       :wiki -
                       :name (z8 / nama
                                 :op1 ""Dolar""))
             :ARG1 (z9 / entitas-laju-91
                       :ARG4 (z10 / entitas-laju-91
                                  :ARG2 (z11 / kuantitas-moneter
                                             :unit (z12 / yen))))
             :manner (z13 / entitas-laju-91
                          :ARG4 (z14 / entitas-tanggal
                                     :dayperiod (z15 / sesi))))
    :op3 (z16 / turun-01
              :ARG0 (z17 / orang
                         :wiki -
                         :name (z18 / nama
                                    :op1 ""Franc""
                                    :op2 ""CHF""))
              :ARG1 (z19 / entitas-laju-91
                         :ARG4 (z20 / entitas-laju-91
                                    :ARG2 (z21 / entitas-persentase)))))"
"# ::id 26
# ::annotator indoamrbart-mbart-fted
# ::snt Namun enam bulan lalu, kedua belah pihak berhasil mencapai kesepakatan rollover utang $ 6,8 miliar, yang berakhir pada bulan Agustus.
(z0 / berhasil-01
    :ARG0 (z1 / samping
              :mod (z2 / keduanya))
    :ARG1 (z3 / mencapai-02
              :ARG0 z1
              :ARG1-of (z4 / berakhir-01
                           :time (z5 / entitas-tanggal)))
    :time (z6 / sebelum
              :op1 (z7 / sekarang)
              :quant (z8 / kuantitas-sementara
                         :unit (z9 / bulan))))"
"# ::id 27
# ::annotator indoamrbart-mbart-fted
# ::snt Sederhananya, destat hati yang pemalu cenderung lebih malu-malu dengan orang dan situasi baru.
(z0 / cenderung-01
    :ARG0 (z1 / orang
              :wiki -
              :name (z2 / nama
                        :op1 ""Destat""
                        :op2 ""hati"")
              :mod (z3 / pemalu))
    :ARG2 (z4 / malu-01
              :ARG0 z1
              :ARG1 (z5 / dan
                        :op1 (z6 / orang)
                        :op2 (z7 / situasi
                                 :ARG1-of (z8 / baru-01))))
    :time (z9 / sekarang))"
"# ::id 28
# ::annotator indoamrbart-mbart-fted
# ::snt """"""Saya ingin membawa orang-orang paling cantik ke gedung terindah,"""" kata Tunick pada hari Minggu.""
(z0 / ujar-01
    :ARG0 (z1 / orang
              :wiki -
              :name (z2 / nama
                        :op1 ""Tunick""))
    :ARG1 (z3 / ingin-01
              :ARG0 (z4 / aku)
              :ARG1 (z5 / bawa-01
                        :ARG0 z4
                        :ARG1 (z6 / orang
                                  :ARG1-of (z7 / memiliki-derajat-91
                                               :ARG2 (z8 / cantik)
                                               :ARG3 (z9 / sebagian-besar)))
                        :destination (z10 / gedung
                                          :mod (z11 / terindah))))
    :time (z12 / entitas-tanggal
               :weekday (z13 / minggu)))"
"# ::id 29
# ::annotator indoamrbart-mbart-fted
# ::snt Indeks S&P 500 naik 1,26, atau 0,1 persen, menjadi 1.039,32 setelah tenggelam 10,75 kemarin.
(z0 / naik-01
    :ARG0 (z1 / indeks
              :wiki ""S&P500indeks""
              :name (z2 / nama
                        :op1 ""Indeks""
                        :op2 ""S&P""
                        :op3 ""500""))
    :ARG4 (z3 / entitas-persentase)
    :time (z4 / entitas-tanggal)
    :time (z5 / setelah
              :op1 (z6 / tenggelam-01
                       :ARG1 (z7 / entitas-laju-91
                                 :ARG2 (z8 / entitas-tanggal)))))"
"# ::id 30
# ::annotator indoamrbart-mbart-fted
# ::snt Saat ini tinggal di atas stasiun ruang angkasa adalah astronot Amerika Ed Lu dan kosmonot Rusia Yuri Malenchenko.
(z0 / dan
    :op1 (z1 / astronot
             :mod (z2 / negara
                      :wiki ""UnitedStates""
                      :name (z3 / nama
                                :op1 ""America""))
             :domain (z4 / orang
                         :wiki -
                         :name (z5 / nama
                                   :op1 ""Yuri""
                                   :op2 ""Malenchenko"")))
    :op2 (z6 / kosmonot
             :mod (z7 / negara
                      :wiki ""Russia""
                      :name (z8 / nama
                                :op1 ""Russia""))
             :domain (z9 / orang
                         :wiki -
                         :name (z10 / nama
                                    :op1 ""Ed""
                                    :op2 ""Lu"")))
    :location (z11 / stasiun
                   :mod (z12 / ruang)))"
"# ::id 31
# ::annotator indoamrbart-mbart-fted
# ::snt Meskipun negara-kota kecil, Singapura adalah mitra dagang terbesar ke-12 Amerika Serikat, dengan volume perdagangan $ 33,4 miliar tahun lalu.
(z0 / memiliki-derajat-91
    :ARG1 (z1 / negara
              :wiki ""Singapore""
              :name (z2 / nama
                        :op1 ""Singapore""))
    :ARG2 (z3 / besar)
    :ARG3 (z4 / sebagian-besar)
    :ARG5 (z5 / negara
              :wiki ""UnitedStates""
              :name (z6 / nama
                        :op1 ""United""
                        :op2 ""States"")
              :mod (z8 / perdagangan)
              :time (z9 / tahun
                        :mod (z10 / terakhir))
              :quant (z11 / kuantitas-moneter
                          :unit (z12 / dolar))))"
"# ::id 32
# ::annotator indoamrbart-mbart-fted
# ::snt AFL-CIO mengumumkan pada hari Rabu bahwa mereka akan memutuskan pada bulan Oktober apakah akan mendukung seorang kandidat sebelum pemilihan pendahuluan.
(z0 / umum-01
    :ARG0 (z1 / mereka)
    :ARG1 (z2 / memutuskan-01
              :ARG0 (z3 / orang
                        :ARG0-of (z4 / memiliki-peran-org-91
                                     :ARG2 (z5 / calon)))
              :ARG1 (z6 / nikmat-01
                        :ARG0 z3
                        :ARG1 (z7 / calon)
                        :time (z8 / sebelum
                                  :op1 (z9 / pilih
                                           :mod (z10 / pendahuluan))))
              :time (z11 / entitas-tanggal
                         :weekday (z12 / kamis)))
    :time (z13 / entitas-tanggal
               :weekday (z14 / rabu)))"
"# ::id 33
# ::annotator indoamrbart-mbart-fted
# ::snt Tidak ada tanggal yang ditetapkan untuk kasus-kasus kriminal atau perdata, tetapi Shanley mengaku tidak bersalah.
(z0 / dan
    :op1 (z1 / menetapkan-01
             :ARG1 (z2 / tanggal)
             :beneficiary (z3 / atau
                              :op1 (z4 / kasus
                                       :mod (z5 / kriminal))
                              :op2 (z6 / perdata)))
    :op2 (z7 / mengaku-01
             :ARG0 (z8 / orang
                       :wiki -
                       :name (z9 / nama
                                 :op1 ""Shanley""))
             :ARG1-of (z10 / tidak-bersalah-01)))"
"# ::id 34
# ::annotator indoamrbart-mbart-fted
# ::snt Sub-indeks mengukur harga, pesanan baru, inventaris dan ekspor meningkat.
(z0 / dan
    :op1 (z1 / hitung-01
             :ARG0 (z2 / orang
                       :ARG0-of (z3 / memiliki-peran-rel-91
                                    :ARG2 (z4 / sub-indeks)))
             :ARG1-of (z5 / harga-01))
    :op2 (z6 / pesan-01
             :ARG1-of (z7 / baru-01))
    :op3 (z8 / ekspor-01
             :ARG1 (z9 / inventaris)))"
"# ::id 35
# ::annotator indoamrbart-mbart-fted
# ::snt New York Stock Exchange menangguhkan perdagangan kemarin di Loral, yang ditutup pada $ 3,01 Jumat.
(z0 / kalah-01
    :ARG0 (z1 / perusahaan
              :wiki -
              :name (z2 / nama
                        :op1 ""New""
                        :op2 ""New""
                        :op3 ""New""
                        :op4 ""York""
                        :op5 ""Stock""))
    :ARG1 (z3 / perdagangan
              :mod (z4 / kemarin))
    :location (z5 / kota
                  :wiki ""Loral,Louisiana""
                  :name (z6 / nama
                            :op1 ""Loral""))
    :time (z7 / entitas-tanggal
              :weekday (z8 / jumat)))"
"# ::id 36
# ::annotator indoamrbart-mbart-fted
# ::snt Itu mengalahkan perkiraan pendapatan April perusahaan dari 8 hingga 9 sen per saham.
(z0 / mengalahkan-01
    :ARG0 (z1 / perusahaan)
    :ARG1 (z2 / perkiraan-01
              :ARG1 (z3 / pendapatan
                        :mod (z4 / entitas-laju-91
                                 :ARG4 (z5 / entitas-tanggal))))
    :ARG2 (z6 / entitas-laju-91
              :ARG2 (z7 / entitas-laju-91
                        :ARG3 (z8 / entitas-laju-91
                                  :ARG4 (z9 / saham)))))"
"# ::id 37
# ::annotator indoamrbart-mbart-fted
